No;Customer;Suplier;CID ABH;CID Supplier;Type of Issue;ABH Ticket Number;Supplier Ticket Number;Status;Date/Start Time;Date/End Time;Duration;Timezone;On Duty;Root Cause;Action Taken;Chronology;Cordination To Customer;Cordination To Supplier;Status RFO Send;;;;;;
57;Wangsu;DCC;202400109;ABH202406110001;Packet Loss & Latency Increase;#20250000158;;Closed;13/2/2025 15:08;13/2/2025 15:55;00:47:00;GMT+8;Luthfi;"Backbone line interruption caused traffic to switch 
to the backup line, which took a suboptimal path 
through Malaysia, leading to packet loss.  ";Optimized the backup line routing ;#20250000158 | Wangsu IEPL (DCC) | Packet Loss & Latency Increase | 202400109 | Wangsu report untuk circuit IEPL nya periode 13/2/2025 15:08 - 15:55 GMT+8 | Sudah di open ticket ke DCC | FU DCC untuk hasil pengecekan dan update selanjutnya | Update dari DCC bahwa adanya issue pada main path dan saat ini di switch ke jalur backup (Malay), Kondisi saat ini sedang solve it jalur utama | Konfirmasi ke DCC detail switch jalur backupnya dan apakah ini opsi permanent | FU konfirm ke DCC | Update dari DCC bahwa main link sudah sepenuhnya di solve it dan packet loss tidak akan terjadi kembali dikarenakan DCC telah adjust rute backup untuk optimize efisiensi jaringannya | Sudah disampaikan ke Wangsu | Update dari Wangsu bahwa link sudah kembali stabil sampai sekarang | FU RFO ke DCC | RFO sudah diberikan validasi ke internal untuk close ticket | RFO sudah disampaikan | Official akan di kirim pada Working Days | CLOSED;WeChat;Email;yes;;;;;;
58;Bausho;ABH-Crossnet;BTIIG;;Link Down;#20250000159;;Closed;13/2/2025 4:40;13/2/2025 15:40;11:00:00;GMT+7;Tian;"Fiber Optic Cut Impact Snagged by Car and the 
finding of kinked cable at KM 8 Lalona Village  ";Fo Cut and cable pulling at KM 8 Lanona Village; #20250000159 | Bausho (ABH-Crossnet) | Link Down | BTIIG | CN report bahwa BTIIG Main FO down periode 13/02/2025 04:45 WIB | FU Progressnya ke CN | Update dari CN bahwa issue Backbone dikarenakan tersangkut mobil | Saat ini sedang dalam progress tracing titik cut | BB sudah kembali di resplice dan service kembali up periode 13/02/2025 15:40 GMT+7 | FU RFO ke CN | RFO available | Prepare RFO Internal Kirim Pagi Ini | RFO sudah di buat | CLOSED;WhatsApp;WhatsApp;yes;;;;;;
59;Infobip;ABH-DCC; AB23039;SDPP202308040002;Packet Loss;#20250000160;TT-2025120531;Closed;13/2/2025 7:10;13/2/2025 9:27;02:17:00;GMT/UTC;Luthfi;;;1. #20250000160 | Infobip (ABH-DCC) | Packet Loss | AB23039 | Infobip report linknya mengalami packet loss periode 13/02/2025 07:10 - 9:27 UTC dan meminta untuk di check terkait reasonnya | Sudah di open ticket ke DCC | FU update dan hasil pengecekan selanjutnya dari DCC | Update dari DCC bahwa port interkoneksi rusak, saat ini sudah diganti dengan yang baru dan status port sudah normal | konfirm infobip | Confirm dari Infobip bahwa service masih mengalami packet loss | Sudah disampaikan ke DCC | FU DCC untuk hasil temuannya | Sudah dikordinasikan ke DCC untuk pasang ip dummy segment JKT<>SG<>FR5 | Update dari DCC bahwa tidak bisa memasang ip dummy dan menyarankan untuk memakai loopback ip | Sudah di tanyakan ke DCC mengapa tidak bisa memasang ip dummy | Update dari DCC bahwa perangkat mereka tiap segment sudah memakai ip loopback dan tidak perlu memakai ip dummy | Sedang dimintakan hasil ping per segment ke DCC | FU ke DCC untuk hasilnya | Hasil ping sudah diinfokan ke infobip | konfirmasi ke infobip | minta dcc ping all segment | Ping All Segment available | Mintakan Live ping test ke DCC saat peak hours hingga selesai peak hours | Update dari DCC bahwa hasil packet loss kembali terjadi dan sedang di investigasi | FU hasil pengecekan dari DCC | closed;Email;Email;yes;;;;;;
60;Aofei;ABH;Local Loop Neu<>Cyb;;Link Down;#20250000161;;Closed;16/02/2025 1:45;16/02/2025 2:15;00:30:00;GMT+8;Syahrul;Link down due to double FO Cut;Repair and resplicing ;#20250000161 | Aofei ( ABH ) | Local Loop Neu<>Cyb | Link Down | aofei report mengalami link down pada Link local loop | down disebabkan activity maintenance | backup via VPLS 2550 | Prepare RFO dan Validasi Internal | RFO sudah disampaikan ke Aofei | CLOSED;WeChat;;yes;;;;;;
61;Aofei;ABH-CDI;XC370;;Link Down;#20250000162;;Closed;16/02/2025 4:20;16/02/2025 4:38;00:18:03;GMT+7;Syahrul;activity on DC Apjii;no action;2. #20250000162 | Aofei ( ABH - CDI ) | XC370 | Link Down | aofei report mengalami link down pada xc370 | down disebabkan karena activity maintenance | traffic sudah recovered karena tercabut saat maintenance | Prepared RFO dan Validasi Intenal | RFO sudah diberikan, konfirmasi dan close ticket;WeChat;;yes;;;;;;
62;Aofei;ABH-OWS;;;Destiantion Unreachable;#20250000163;;Closed;17/02/2025 4:13;17/02/2025 4:13;00:00:00;GMT+7;Syahrul;;;#20250000163 | Aofei ( ABH-OWS ) | Dest. Unreach | RR2-RD2/180124 RBN-CN | Aofei report mengalami dest unreach pada destinasi 103.13.136.253, 103.13.136.254 | fu pengecekan ows | konfirmasi Aofei | Dari hasil pengecekan bahwa route pada destinasi sempat reset pada jam tersebut | Route di dapati dari OIXP | Confirm ke Aofei | Hold 24 jam | CLOSED;Email;WeChat;yes;;;;;;
63;ABH;ISC;;;Request Permit Access;#20250000164;;Open;17/02/2025;20/02/2025;;GMT+7;Syahrul;;;;Email;Email;No;;;;;;
64;BiznetGio;ABH;AB23033;;Req. Allow & Adv. Prefix;#20250000165;;Closed;18/02/2025;;;GMT+7;Haikal;allow prefix 103.87.66.0/23 le 24 ;allow prefix 103.87.66.0/23 le 24 ;#20250000165 | BiznetGio (ABH) | BiznetGio meminta allow prefix 103.87.66.0/23 le 24 | di sisi kita sudah allow | FU ke Mba Aul untuk update apakah sudah progress ke Telkom | CLOSED;Email;Email;No;;;;;;
65;DCC;ABH;RHS Request for patching at EDGE DC;RHS Request for patching at EDGE DC;Req RHS;#20250000166;Ticket RHS #202500018;Closed;18/02/2025;18/02/2025;;GMT+7;Tian;;;;Email;Email;No;;;;;;
66;Aofei;ABH;Req. Pemit, Inbound, & Outbound Access ;Req. Pemit, Inbound, & Outbound Access ;Request Permit Access;#20250000167;;Closed;19/2/2025 9:00;19/02/2025 17:00;00:18:03;GMT+7;Tian;Req. Permit Inbound & Outbound from Neu to MDC;;;;;;;;;;;
67;DCC;ABH-ISPL;202400083;"CID New : 241101-100G-IPLC-Matrix EQXSG1-EDGE-TMBS
CID Old :  231006_100G_EQX-EDGE";Maintenance;#20250000168;#2025-0020120;Closed;26/02/2025 23:00;27/02/2025 7:00;00:18:03;GMT+7;Tian;Urgent Maintenance for Cut Over Relocation at Street Kali Besar Kota Tua, Jakarta;Urgent Maintenance for Cut Over Relocation at Street Kali Besar Kota Tua, Jakarta;Downtime 10 minutes.;Email;Email;No;;;;;;
68;DCC;ABH;Proactive-Ticket - Link DWDM Channel 9300;;Tidak terima Power ;#20250000169;;Closed;;;;GMT+7;Tian;Boleh diignore info dari DCC;Boleh diignore info dari DCC;Boleh diignore info dari DCC;Email;Email;No;;;;;;
69;OWS;ABH-ISPL;AB22025;240404-OTTP-ABH_25G>90G-EDG-DC;Maintenance;#20250000170;#2025-0020144;Closed;28/02/2025 0:00;28/02/2025 5:00;05:00:00;GMT+7;Tian;Preventive Maintenance and Routing Engine switchover test at POP EDGE, CYBER Jakarta;Preventive Maintenance and Routing Engine switchover test at POP EDGE, CYBER Jakarta;No downtime and auto switch over to Domestic Exchange (IIX, OIXP);Email;Email;No;;;;;;
70;OWS;ABH-ISPL;AB22025;240404-OTTP-ABH_25G>90G-EDG-DC;Maintenance;#20250000171;#2025-0020129;Closed;03/06/2025 23:00;03/07/2025 3:30;04:30:00;GMT+7;Tian;Upgrade IOS-XR 7.11.2 on JKT-KPI-OTT-ASR9006;Upgrade IOS-XR 7.11.2 on JKT-KPI-OTT-ASR9006;No downtime and auto switch over to Domestic Exchange (IIX, OIXP);Email;Email;No;;;;;;
71;Platinum;ABH;202400078;;Flapping;#20250000172;;Closed;19/02/2025 14:48;19/02/2025 16:06;01:18:00;GMT+7;Tian;Cable bending on data center;Pelurusan kabel;2. #20250000171 | Platinum (ABH) | Flapping port xe-0/0/11 di MDC | Issue kabel XC bending di R2 APJII | up dan normal setelah diluruskan | Monitoring terlebih dahulu | RFO sudah diberikan | CLOSED;WhatsApp;WhatsApp;yes;;;;;;
72;Aofei;ABH-ISPL;"AB20015
Vlan58";IEPL 10G SG1-EDGE;Maintenance;#20250000173;#2025-0020144;Open;28/02/2025 0:00;28/02/2025 5:00;05:00:00;GMT+7;Luthfi;Preventive Maintenance and Routing Engine switchover test at POP EDGE, CYBER Jakarta;Preventive Maintenance and Routing Engine switchover test at POP EDGE, CYBER Jakarta;No downtime and auto switch over to Domestic Exchange (IIX, OIXP);Email;Email;No;;;;;;
73;OWS;ABH;AB22025;Vlan4063;Destiantion Unreachable;#20250000174;;Closed;21/02/2025 1:04;21/2/2025 5:05;04:01:00;GMT+7;Luthfi;The circuit went down due to a loop on APJII switch caused by new integration on partner;Update a MAC filter on partner side;1. #20250000174 | OWS (ABH) | Destiantion Unreachable | AB22025 Vlan4063 | OWS report beberapa destinasinya 157.66.188.1, 103.160.54.1, 103.160.55.1, 110.44.172.1 mengalami unreachable dan meminta di check | Jika di check bahwa issue ini related dengan downya peer 767 ISPL | Issue sudah kembali resolved periode 21/02/2025 05:05 GMT+7 | Berikan RFO sesuai informasi dari ISPL  | RFO sudah diberikan | Closed;Email;Email;yes;;;;;;
74;ABH;ISPL;240607-ABH-IPT-APJ-766;Vlan766 & Vlan767;BGP Down;#20250000175;;Closed;21/2/2025 0:12;21/2/2025 4:58;04:46:00;GMT+7;Luthfi;The circuit went down due to a loop on APJII switch caused by new integration on partner;Update a MAC filter on partner side;2. #20250000175 | ABH (ISPL) | BGP Down | Vlan766 & Vlan767 | Dari monitoring kita lihat peer Vlan766 & Vlan767 mengalami down periode 21/2/2025 0:12 dan failover ke peer Vlan768 | Sudah di open ticket ke ISPL | BGP sudah kembali established periode 21/2/2025 04:58 GMT+7 | Sudah di open ticket ke ISPL | FU RFO ke ISPL | RFO Available | Closed;Email;Email;yes;;;;;;
75;DCC;ABH;"RHS Request to Take Down Equipment at Nex DC

SOW as below:

- Dismantle all DC3-05-06 and DC3-05-07 equipment from the rack
- Move out the equipment that been stored in NEX staging room as well
- Delivery from NEX DC to Menara Kadin handled by ABH, this delivery cost been discussed with Elsy that to compensate with equivalent N number of tickets
- To arrange neatly at the Menara Kadin office";RHS Request to Take Down Equipment at Nex DC;Req. RHS;#20250000176;"Ticket RHS 
- #202500019(Buat cek history) 
- #202500020
- #202500021
- #202500022";Open;24/02/2025 TBA;24/02/2025 TBA;;GMT+7;Tian;"SOW as below:

- Dismantle all DC3-05-06 and DC3-05-07 equipment from the rack
- Move out the equipment that been stored in NEX staging room as well
- Delivery from NEX DC to Menara Kadin handled by ABH, this delivery cost been discussed with Elsy that to compensate with equivalent N number of tickets
- To arrange neatly at the Menara Kadin office";;"SOW as below:

- Dismantle all DC3-05-06 and DC3-05-07 equipment from the rack
- Move out the equipment that been stored in NEX staging room as well
- Delivery from NEX DC to Menara Kadin handled by ABH, this delivery cost been discussed with Elsy that to compensate with equivalent N number of tickets
- To arrange neatly at the Menara Kadin office";Email;Email;No;;;;;;
76;DCC;ABH;Req. Permit Outbound;Req. Permit Outbound;Request Permit Access;#20250000177;;Open;24/02/2025 TBA;24/02/2025 TBA;;GMT+7;Tian;Relokasi 36 Server dan 4 Swicth dari Nex DC ke Menara Kadin;Relokasi 36 Server dan 4 Swicth dari Nex DC ke Menara Kadin;;Email;Email;No;;;;;;
77;Baoshuo;Crossnet;;BTTIG_FO vlan535;Link Down;#20250000178;;Closed;22/2/2025 8:29;22/2/2025 17:29;09:00:00;GMT+7;Syahrul;Kabel Putus Impact Tertiban tebangan pohon di KM 14 Desa Wosu;Dilakukan Fo Cut dan penarikan kabel di Km 14 Desa Wosu;3. #20250000178 | Baoshuo (Crossnet) | Link Down | BTTIG_FO vlan535 | Hasil monitoring terpantau link main FO down | Fu pengecekan Crossnet | Hasil pengecekan terdapat 2 event fault | Tim crossnet menuju titik CP estimasi jam 13:11 | Info crossnet kabel nya putus akibat terkena tebangan pohon | proses penarikan kabel baru |  Fu update terbaru | RFO sudah available | Share RFO Senin | Closed;WhatsApp;WhatsApp;yes;BGP Flap;;;;;
78;3GO;ABH;"SO: 202400140
";202400140-MDC-B09-100GE1/0/1-APJII-R2;Link Down;#20250000179;;Closed;23/02/2025 2:53;23/02/2025 11:05;08:12:00;GMT+7;Luthfi;Link down occur from IOH side;Link has been restored from IOH side;#20250000179 | 3GO (ABH) | Link Down | XC MDC>R2 202400140-MDC-B09-100GE1/0/1-APJII-R2 | Team 3GO japrii bahwa bahwa XC nya down dan infonya facing ke IOH | Sudah dimintakan detail label XC dikedua sisi dan saat di check oleh tim ke Rack B09 semua light di device 3GO normal dan up | Parrarel sudah requestkan check ke Apjii dan parrarel passtikan kembali ke customer apakah link masih issue | Konfirm ke 3GO | Konfirm 3GO Masalah di sisi IOH | Closed siang ini;Email;Email;yes;;;;;;
79;Aofei ;ABH;XC-369;;Link Down;#20250000180;;Closed;23/02/2025 6:25;23/02/2025 10:17;03:52:00;GMT+7;Syahrul;No anomalies founded on xc;Link has been restored by it self;#20250000180 | AOFEI (ABH-CDI) | Link Down | XC-369 | Aofei report link masih mengalami down impact maintenance | Fu pengecekan CDI | Status ini sudah up no action dari sisi ABH | Monit terlebih dahulu | CLOSED;Email;Email;yes;;;;;;
80;CTG;ABH;ALL CID CTG;ALL CID CTG;Network Freeze;#20250000181;;Closed;3/3/2025 0:00;11/3/2025 23:59:00;###############################################################################################################################################################################################################################################################;GMT+8;Syahrul;Network Freeze;Network Freeze;Network Freeze;Email;Email;No;;;;;;
81;CTG;Cloudata;202300001;"Cable ID/XC: 363/NET X/2020
Cable ID/XC: 364/NET X/2020";Network Freeze;#20250000182;;Closed;3/3/2025 0:00;11/3/2025 23:59:00;23:59:00;GMT+8;Syahrul;Network Freeze;;;;;;;;;;;
82;CTID - SANY;TIS;202400066;156039;Network Freeze;#20250000183;;Closed;3/3/2025 0:00;11/3/2025 23:59:00;23:59:00;GMT+8;Syahrul;;;;;;;;;;;;
83;CTID - YUTO;Fibernet;202400153;IN18B056;Network Freeze;#20250000184;;Closed;3/3/2025 0:00;11/3/2025 23:59:00;23:59:00;GMT+8;Syahrul;;;;;;;;;;;;
84;Aofei;ABH;Neucentrix Karet;;Request Permit Access;#20250000185;;Open;;;;GMT+8;Syahrul;;;;;;;;;;;;
85;ABH;IIX;RS1 IPV6 ;;Flapping;#20250000186;;Closed;;;00:00:00;GMT+7;Haikal;;;"1. #20250000186 | IIX (ABH) | Multiple Flapping | Masih termonitor flapping pada IPV6 facing IIX | IIX belum buka tiket nya | Sudah di eskali ke Personal Chat | ID Tiket : APJII-0001-9730 | FU kembali | Update dari IIX bahwa issue sudah di atasi | Tunggu hinga BGP V6 stabil selama 24 jam lalu close | Close jam 6 sore
";;;;;;;;;
86;Wangsu;DCC;202400109;ABH202406110001;High Latency;#20250000187; TT-2025115148;Closed;24/02/2025 18:13;26/2/2025 8:15;14:02:00;GMT+8;Haikal;"There was a link down on HK<>Indonesia main 
backbone line which caused the line to be 
diverted to a backup line resulting in increased 
latency";"Repair fiber in the affected main line, and the link 
has been reroute back to the main link";"2. #20250000187 | Wangsu (DCC) | 202400109 | High Latency | Wangsu report high latency pada 24/02/2025 18:13 | Update dari DCC bahwa adanya interruption pada main link nya | FU update dari DCC | Mainlink saat ini sedang proses repair dan akan di switch back ke main line pada 28 Feb 2025 | Saat ini sudah di swithc back ke Main Line | Update dari DCC bahwa 
main link sudah retored secara permanent | Sudah disampaikan ke Wangsu | FU konfirmasi ke Wangsu | konfirmasi dari Wangsu untuk latency kembali normal 2025/02/26 08:15 GMT+8 | FU RFO ke DCC | RFO available | Review | Send RFO to Wangsu | RFO Sudah dikirim | CLOSED
";;;;;;;;;
;;;;;;;;;;;00:00:00;;;;; ?DCC01181857? Help receive express MY82276893891 | DCC meminta untuk menerima barang dan tracking packet | Sedang di tanyakan ke DCC detail barang, waktu dan ekspedisi pengantarannya | FU konfirmasi dari DCC | Infonya reschedule pada Mid Februari | Sudah diinfokan ke DCC untuk reschedulenya harap reminder terlebih dahulu | barang dikirim estimasi 18 feb - 21 feb | Info dari DCC perkiraan 3 hari barang tiba | Barang sudah diterima | CLOSED;;;;;;;;;
87;Aofei;ABH;XC-369;151/NET/JKT2/III/2023;Link Down;#20250000188;;Closed;25/2/2025 0:18;25/2/2025 0:56;00:38:00;GMT+7;Tian;Circuit down;No Action (Issue disisi Customernya Aofei);#20250000188 | Aofei report circuit down (XC-369) | Konfirmasi minta status power pada dua sisi | info dari Aofei sedang ada activity dari customer mereka;Email;WhatsApp;;;;;;;
88;WANGSU-NEX-2;ABH;202400221;;Maintenance;#20250000189;;Closed;02/03/2025 0:00;02/03/2025 3:00;0,125;GMT+7;Syahrul;Urgent maintenance to replace the damaged cross-connect cables at Cyber1 APJII;Maximum downtime of 15 minutes per port;Urgent Maintenance;Email;Email;No;;;;;;
89;DCC;ABH;L1 DWDM NEU<>CYB;L1 NEU-CYB | No Service Order;Link Down;#20250000190;;Closed;26/02/2025 17:53;26/02/2025 18:01:13;00:08:13;GMT+8;Luthfi;"Link down due to flapping in NEU<>Cyber 
transmission. There was no activity on the ABH 
or vendor side";No action has been taken;#20250000190 | DCC (ABH) | Link Down | L1 NEU-CYB | No Service Order | DCC report sevicenya mengalami down periode 26/02/2025 17:53 - 18:01 GMT+8 | Sudah di open ticket | Dari hasil pengecekan bahwa Link Down impact flapping nya BB Neu<>Cyb via HSP periode 26/02/2025 16:52:47 - 16:52:53 GMT+7 | Sudah disampaikan ke DCC | Monitoring dahulu untuk kestabilannya | Link stabil selama 18 jam dan sudah di konfirmasi ke DCC untuk close ticket | FU konfirmasi dari DCC | Update dari DCC bahwa hold ticket terlebih dahulu hingga stabil selama 24 jam lalu close ticket;Email;Email;yes;;;;;;
90;IOH;Telkom;AB23029;1773283635 & 1773218210;Link Down;#20250000191;;Open;26/02/2025 20:35;27/02/2025 0:20;03:45:00;GMT+7;Tian;;;;;;;;;;;;
91;Aofei;ABH-OWS;RR2-RD2/180124 RBN-CN;10742-OWS-ABH-SIN IPT;Destiantion Unreachable;#20250000192;;Closed;;;;GMT+7;Luthfi;;;"2. #20250000192 | Aofei (OWS) | Dest Unreachable | CID RR2-RD2/180124 RBN-CN | Aofei report dest 103.28.74.41,103.28.74.184,103.28.74.191 | Dari hasil pengecekan di sisi ABH bahwa route tidak di temukan dalam table route VRF OWS, namun dari Global route, ditemukan via XL | Hasil pengecekan dari tim OWS bahwa ketiga IP tersebut tidak bisa di akes via international | Sudah disampaikan ke Aofei | Hold 24 jam dan bisa diclosed jika tidak ada respon dari custnya Aofei  | Close jam 4 sore
";;;;;;;;;
92;Sea;ABH;;;Req. Allow & Adv. Prefix;#20250000193;;Closed;;;;GMT+7;Syahrul;;;;;;;;;;;;
93;Seabank;ABH;AB21015 ;;Intermittent;#20250000194;;Open;;;;GMT+7;Syahrul;;;;;;;;;;;;
94;Infinia-DCC;Artamedia;"202400197
202400220";;Link Down;#20250000195;;Closed;;;;GMT+7;Syahrul;There was an issue on the link and it has been solved, the MAC Address has been detected again but cannot be pinged because the service has not been used.;Checking circuit log and monitoring;#20250000195 | (Pro-active) Infinia-DCC ( Artamedia ) | 202400197 202400220 | Link Down | Hasil monitoring ping ip 103.130.199.90 dan 103.130.199.146 tidak reach | Hasil observasi dari Artamedia ditemukan bahwa port LAN tidak dicolok | FU konfirmasi DCC | Saat ini sedang di lakukan pengecekan lebih lanjut oleh tim Artha | Pengecekan akan dilanjut besok oleh tim Artha | Update dari tim Artha bahwa Mac-Address sudah tembus dan saat di check port facing customer di Switch LA hasil nya status port up suspect link belum di gunakan | Sedang di make sure ke Infinia oleh tim DCC | Update dari DCC bahwa Infinia tidak menggunakan servicenya | Sudah di confirm ke internal untuk close ticket | CLOSED;Email;Email;No;;;;;;
